bundesland,faelle,tod,lat,long,datum
Bayern,48,0,48.9,11.4,2020-03-04
Berlin,6,0,52.5,13.4,2020-03-04
Brandenburg,1,0,52.0,13.87,2020-03-04
Bremen,2,0,53.1,8.8,2020-03-04
Hamburg,2,0,53.5,10.0,2020-03-04
Hessen,12,0,50.7,9.0,2020-03-04
Mecklenburg-Vorpommern,3,0,53.8,12.5,2020-03-04
Niedersachsen,4,0,52.57,10.0,2020-03-04
Nordrhein-Westfalen,111,0,51.6,7.5,2020-03-04
Rheinland-Pfalz,2,0,50.0,7.3,2020-03-04
Saarland,1,0,49.4,6.97,2020-03-04
Sachsen,1,0,51.05,13.5,2020-03-04
Schleswig-Holstein,2,0,54.2,9.9,2020-03-04
Thüringen,1,0,50.85,11.13,2020-03-04
Gesamt,240,0,51.06,10.0,2020-03-04
Baden-Württemberg,65,0,48.5,9.0,2020-03-05
Bayern,52,0,48.9,11.4,2020-03-05
Berlin,9,0,52.5,13.4,2020-03-05
Brandenburg,1,0,52.0,13.87,2020-03-05
Bremen,3,0,53.1,8.8,2020-03-05
Hamburg,3,0,53.5,10.0,2020-03-05
Hessen,14,0,50.7,9.0,2020-03-05
Mecklenburg-Vorpommern,4,0,53.8,12.5,2020-03-05
Niedersachsen,10,0,52.57,10.0,2020-03-05
Nordrhein-Westfalen,175,0,51.6,7.5,2020-03-05
Rheinland-Pfalz,7,0,50.0,7.3,2020-03-05
Saarland,1,0,49.4,6.97,2020-03-05
Sachsen,1,0,51.05,13.5,2020-03-05
Schleswig-Holstein,3,0,54.2,9.9,2020-03-05
Thüringen,1,0,50.85,11.13,2020-03-05
Gesamt,349,0,51.06,10.0,2020-03-05
Baden-Württemberg,91,0,48.5,9.0,2020-03-06
Bayern,79,0,48.9,11.4,2020-03-06
Berlin,15,0,52.5,13.4,2020-03-06
Brandenburg,1,0,52.0,13.87,2020-03-06
Bremen,3,0,53.1,8.8,2020-03-06
Hamburg,8,0,53.5,10.0,2020-03-06
Hessen,15,0,50.7,9.0,2020-03-06
Mecklenburg-Vorpommern,5,0,53.8,12.5,2020-03-06
Niedersachsen,18,0,52.57,10.0,2020-03-06
Nordrhein-Westfalen,281,0,51.6,7.5,2020-03-06
Rheinland-Pfalz,8,0,50.0,7.3,2020-03-06
Saarland,1,0,49.4,6.97,2020-03-06
Sachsen,1,0,51.05,13.5,2020-03-06
Schleswig-Holstein,7,0,54.2,9.9,2020-03-06
Thüringen,1,0,50.85,11.13,2020-03-06
Gesamt,534,0,51.06,10.0,2020-03-06
Baden-Württemberg,116,0,48.5,9.0,2020-03-07
Bayern,117,0,48.9,11.4,2020-03-07
Berlin,24,0,52.5,13.4,2020-03-07
