bundesland,faelle,tod,lat,long,datum
Baden-Württemberg,91,0,48.5,9.0,2020-03-06
Bayern,79,0,48.9,11.4,2020-03-06
Berlin,15,0,53.4,13.2,2020-03-06
Brandenburg,1,0,52.4,13.0,2020-03-06
Bremen,3,0,53.1,8.8,2020-03-06
Hamburg,8,0,53.5,10.0,2020-03-06
Hessen,15,0,50.7,9.0,2020-03-06
Mecklenburg-Vorpommern,5,0,53.8,12.5,2020-03-06
Niedersachsen,18,0,53.87,9.5,2020-03-06
Nordrhein-Westfalen,281,0,51.6,7.5,2020-03-06
Rheinland-Pfalz,8,0,50.0,7.3,2020-03-06
Saarland,1,0,49.4,6.97,2020-03-06
Sachsen,1,0,51.05,13.5,2020-03-06
Schleswig Holstein,7,0,54.2,9.9,2020-03-06
Thüringen,1,0,50.85,11.13,2020-03-06
Gesamt,534,0,51.06,10.0,2020-03-06
