bundesland,faelle,tod,lat,long,datum
Baden-Württemberg,116,0,48.5,9.0,2020-03-07
Bayern,117,0,48.9,11.4,2020-03-07
Berlin,24,0,53.4,13.2,2020-03-07
Brandenburg,2,0,52.4,13.0,2020-03-07
Bremen,4,0,53.1,8.8,2020-03-07
Hamburg,12,0,53.5,10.0,2020-03-07
Hessen,16,0,50.7,9.0,2020-03-07
Mecklenburg-Vorpommern,5,0,53.8,12.5,2020-03-07
Niedersachsen,19,0,53.87,9.5,2020-03-07
Nordrhein-Westfalen,346,0,51.6,7.5,2020-03-07
Rheinland-Pfalz,10,0,50.0,7.3,2020-03-07
Saarland,2,0,49.4,6.97,2020-03-07
Sachsen,2,0,51.05,13.5,2020-03-07
Schleswig Holstein,8,0,54.2,9.9,2020-03-07
Thüringen,1,0,50.85,11.13,2020-03-07
Gesamt,684,0,51.06,10.0,2020-03-07
